M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
2943,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2955,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2958,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2965,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2969,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2970,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2973,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2986,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3005,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3006,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3010,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3013,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3017,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3038,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3049,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3050,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3052,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3055,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3070,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3072,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3073,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3074,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3075,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3076,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3077,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3078,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3079,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3080,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3081,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3082,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3083,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3084,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3102,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3110,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3125,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3127,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3128,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3129,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3130,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3133,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3150,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3166,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3185,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3188,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3207,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3218,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3225,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3228,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3229,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3232,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3245,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3247,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3255,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3260,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3265,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3276,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3295,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3311,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3323,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3328,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3344,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3346,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3349,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3351,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3372,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3382,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3398,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3404,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3420,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3424,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
